atk,policy,n_senders,admitted,recovered
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,True
none,accept_all,1,1,False
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,False
none,accept_all,1,1,False
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,2,False
none,greedy,2,1,False
none,accept_all,2,2,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,False
none,accept_all,1,1,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,False
none,greedy,2,2,True
none,accept_all,2,2,False
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,0,False
none,greedy,2,0,False
none,accept_all,2,2,False
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,1,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,1,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,2,1,False
none,keep_positive_solo,2,2,False
none,greedy,2,1,True
none,accept_all,2,2,False
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,0,True
none,greedy,1,0,False
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,False
none,keep_positive_solo,2,2,False
none,greedy,2,1,False
none,accept_all,2,2,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,1,True
none,greedy,2,0,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,False
none,keep_positive_solo,2,2,False
none,greedy,2,0,False
none,accept_all,2,2,False
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,2,2,False
none,keep_positive_solo,2,2,False
none,greedy,2,2,False
none,accept_all,2,2,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,2,2,False
none,keep_positive_solo,2,2,False
none,greedy,2,2,False
none,accept_all,2,2,False
none,keep_positive_loo,3,0,False
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,False
none,keep_positive_solo,2,2,False
none,greedy,2,2,False
none,accept_all,2,2,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,1,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,0,False
none,greedy,2,0,False
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,1,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,4,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,3,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,0,False
none,keep_positive_solo,4,4,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,4,4,True
none,keep_positive_solo,4,4,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,4,1,True
none,keep_positive_solo,4,3,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,3,True
none,keep_positive_solo,4,3,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,4,1,True
none,keep_positive_solo,4,3,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,4,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,1,True
none,keep_positive_solo,4,3,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,1,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,4,1,True
none,keep_positive_solo,4,3,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,4,0,False
none,keep_positive_solo,4,3,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,3,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,4,1,True
none,keep_positive_solo,4,3,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,3,True
none,greedy,4,1,True
none,accept_all,4,4,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,3,3,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,True
none,accept_all,1,1,False
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,0,False
none,accept_all,1,1,True
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,2,False
none,greedy,2,0,False
none,accept_all,2,2,False
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,3,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,False
none,greedy,1,1,True
none,accept_all,1,1,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,1,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,1,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,3,3,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,0,False
none,keep_positive_solo,2,0,False
none,greedy,2,0,False
none,accept_all,2,2,False
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,1,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,False
none,accept_all,1,1,False
none,keep_positive_loo,3,2,False
none,keep_positive_solo,3,3,False
none,greedy,3,2,False
none,accept_all,3,3,False
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,False
none,keep_positive_solo,3,3,False
none,greedy,3,2,False
none,accept_all,3,3,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,2,True
none,keep_positive_solo,3,2,True
none,greedy,3,0,True
none,accept_all,3,3,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,1,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,2,False
none,keep_positive_solo,2,2,False
none,greedy,2,1,False
none,accept_all,2,2,False
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,0,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,3,3,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,2,True
none,keep_positive_solo,2,2,True
none,greedy,2,2,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,3,True
none,greedy,4,2,True
none,accept_all,4,4,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
none,accept_all,1,1,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,True
none,keep_positive_loo,3,3,True
none,keep_positive_solo,3,3,True
none,greedy,3,1,True
none,accept_all,3,3,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,1,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,2,1,True
none,keep_positive_solo,2,2,True
none,greedy,2,1,True
none,accept_all,2,2,True
none,keep_positive_loo,4,2,True
none,keep_positive_solo,4,4,True
none,greedy,4,3,True
none,accept_all,4,4,True
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,1,1,False
none,keep_positive_solo,1,1,False
none,greedy,1,1,False
none,accept_all,1,1,False
none,keep_positive_loo,1,0,False
none,keep_positive_solo,1,0,False
none,greedy,1,0,False
none,accept_all,1,1,False
none,keep_positive_loo,3,1,True
none,keep_positive_solo,3,3,True
none,greedy,3,2,True
none,accept_all,3,3,True
none,keep_positive_loo,1,1,True
none,keep_positive_solo,1,1,True
none,greedy,1,1,True
